==================================================================================================================================
Group/Result                                       |    Total |       TP |       FP |   Accuracy | Hit Rate
----------------------------------------------------------------------------------------------------------------------------------
Camera Position=X=-1.000 Y=0.000 Z=0.200           |       30 |       11 |       19 |     36.67% |  36.67%
Camera Position=X=0.000 Y=-1.000 Z=0.200           |       30 |        6 |       24 |     20.00% |  20.00%
Camera Position=X=0.000 Y=1.000 Z=0.200            |       30 |        9 |       21 |     30.00% |  30.00%
Camera Position=X=1.000 Y=0.000 Z=0.200            |       30 |        8 |       22 |     26.67% |  26.67%
==================================================================================================================================

======================================================================================================================================================
Per-Class Breakdown by ['Camera Position']
======================================================================================================================================================
Group                                    | Class                |  Total |     TP |     FP |   Accuracy |  Precision
------------------------------------------------------------------------------------------------------------------------------------------------------
Camera Position=X=-1.000 Y=0.000 Z=0.200 | FighterJet_C         |      6 |      3 |      3 |     50.00% |     50.00%
Camera Position=X=-1.000 Y=0.000 Z=0.200 | Guitar-1_C           |      6 |      0 |      6 |      0.00% |      0.00%
Camera Position=X=-1.000 Y=0.000 Z=0.200 | PasPlane_C           |      6 |      2 |      4 |     33.33% |     33.33%
Camera Position=X=-1.000 Y=0.000 Z=0.200 | Pistol-1_C           |      6 |      3 |      3 |     50.00% |     50.00%
Camera Position=X=-1.000 Y=0.000 Z=0.200 | Taxi_C               |      6 |      3 |      3 |     50.00% |     50.00%
Camera Position=X=0.000 Y=-1.000 Z=0.200 | FighterJet_C         |      6 |      2 |      4 |     33.33% |     33.33%
Camera Position=X=0.000 Y=-1.000 Z=0.200 | Guitar-1_C           |      6 |      0 |      6 |      0.00% |      0.00%
Camera Position=X=0.000 Y=-1.000 Z=0.200 | PasPlane_C           |      6 |      2 |      4 |     33.33% |     33.33%
Camera Position=X=0.000 Y=-1.000 Z=0.200 | Pistol-1_C           |      6 |      0 |      6 |      0.00% |      0.00%
Camera Position=X=0.000 Y=-1.000 Z=0.200 | Taxi_C               |      6 |      2 |      4 |     33.33% |     33.33%
Camera Position=X=0.000 Y=1.000 Z=0.200  | FighterJet_C         |      6 |      3 |      3 |     50.00% |     50.00%
Camera Position=X=0.000 Y=1.000 Z=0.200  | Guitar-1_C           |      6 |      0 |      6 |      0.00% |      0.00%
Camera Position=X=0.000 Y=1.000 Z=0.200  | PasPlane_C           |      6 |      2 |      4 |     33.33% |     33.33%
Camera Position=X=0.000 Y=1.000 Z=0.200  | Pistol-1_C           |      6 |      0 |      6 |      0.00% |      0.00%
Camera Position=X=0.000 Y=1.000 Z=0.200  | Taxi_C               |      6 |      4 |      2 |     66.67% |     66.67%
Camera Position=X=1.000 Y=0.000 Z=0.200  | FighterJet_C         |      6 |      1 |      5 |     16.67% |     16.67%
Camera Position=X=1.000 Y=0.000 Z=0.200  | Guitar-1_C           |      6 |      0 |      6 |      0.00% |      0.00%
Camera Position=X=1.000 Y=0.000 Z=0.200  | PasPlane_C           |      6 |      0 |      6 |      0.00% |      0.00%
Camera Position=X=1.000 Y=0.000 Z=0.200  | Pistol-1_C           |      6 |      5 |      1 |     83.33% |     83.33%
Camera Position=X=1.000 Y=0.000 Z=0.200  | Taxi_C               |      6 |      2 |      4 |     33.33% |     33.33%
======================================================================================================================================================
